FINAL HEAT OF FORMATION =     -9660.0399377840  time =       0.0000000000
  6       -0.0182836126      -0.0147588093       0.0087448944
  6        0.0118009857       0.0122738555       0.0109774339
  6       -0.0062233683      -0.0109757661      -0.0097072355
  6       -0.0101054072       0.0007181344       0.0005514151
 16       -0.0016837101       0.0074318200       0.0060566561
  6       -0.0044953847       0.0116697703      -0.0031608496
  6        0.0251930927      -0.0027181022       0.0039215009
  6       -0.0005178711      -0.0421576676       0.0104547677
  6       -0.0378384508      -0.0063889927      -0.0067198127
 16       -0.0047897113       0.0152290447       0.0029768683
  1        0.0213155874      -0.0045359150      -0.0027380789
  1       -0.0149819080       0.0054406837       0.0015200006
  6       -0.0352382945      -0.0229862698       0.0150943258
  6       -0.0396350759       0.0352019442       0.0050464681
  6        0.0377341269       0.0004220437      -0.0034630896
  6       -0.0031324485      -0.0033794363       0.0004347469
 16       -0.0171775683      -0.0165419651      -0.0119908350
  1        0.0032606443      -0.0072086221      -0.0152661767
  1        0.0089373309       0.0053887072       0.0070569482
  6        0.0007231187      -0.0004137966      -0.0021357596
  1       -0.0011274096       0.0011310250      -0.0029045163
  1        0.0012472089       0.0013739759      -0.0019985205
  6        0.0005333383       0.0033031229       0.0004425531
  1        0.0020980027       0.0014476150       0.0010529591
  1       -0.0011158302       0.0019533631       0.0037000706
  6       -0.0000915796       0.0012824672      -0.0019031239
  1       -0.0001931578      -0.0022286673       0.0009391476
  1        0.0010271317      -0.0002175716      -0.0011734371
  1       -0.0009315765      -0.0008031596       0.0008595484
  6       -0.0121249311       0.0048209774       0.0121749995
  1       -0.0092583314       0.0128210995       0.0036602843
  1        0.0066763491       0.0035629202       0.0012843527
  6        0.0029342651       0.0033948122      -0.0017971504
  1        0.0057463304      -0.0071616922      -0.0016781924
  1       -0.0010243239       0.0125139456      -0.0130084887
  6        0.0011523043       0.0005609995      -0.0015901511
  1        0.0000008227       0.0015692898       0.0004076710
  1        0.0050614700      -0.0006378806      -0.0013579705
  6        0.0245783809      -0.0084061202       0.0082713953
  1        0.0179155762      -0.0012563369      -0.0062120640
  1       -0.0031607961       0.0299488909      -0.0086714936
  6       -0.0114365970       0.0078259090      -0.0052138820
  1       -0.0098837481       0.0101343245       0.0006187448
  1       -0.0095096487      -0.0025390533      -0.0061042399
  6       -0.0124655914      -0.0048604334       0.0008585075
  1       -0.0044432423       0.0011444738      -0.0000607540
  1       -0.0093709311      -0.0009347301       0.0036870672
  8        0.0001389706       0.0033154066      -0.0014289956
  6        0.0053214999       0.0030647325       0.0012415580
  1        0.0055229966      -0.0028938760      -0.0019289478
  1        0.0048215107       0.0015362888       0.0002667100
  6        0.0037490537      -0.0004680341      -0.0008578536
  1        0.0043377426       0.0012347018       0.0027728555
  1        0.0037127731      -0.0013759369      -0.0067374934
  8        0.0010089045      -0.0029301712       0.0010804757
  6       -0.0019319357       0.0008298335       0.0010359211
