      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      2.2850   5.4260E+02       0.00820805       0.00160114
      2.2900   5.4142E+02       0.00822525       0.00161672
      2.2950   5.4024E+02       0.00825666       0.00161356
      2.3000   5.3906E+02       0.00825839       0.00157263
      2.3050   5.3789E+02       0.00824525       0.00152062
      2.3100   5.3673E+02       0.00827066       0.00150524
      2.3150   5.3557E+02       0.00838445       0.00156017
      2.3200   5.3441E+02       0.00860316       0.00168297
      2.3250   5.3327E+02       0.00889956       0.00183448
      2.3300   5.3212E+02       0.00921113       0.00195792
      2.3350   5.3098E+02       0.00947517       0.00201338
      2.3400   5.2985E+02       0.00967018       0.00200532
      2.3450   5.2872E+02       0.00981696       0.00197425
      2.3500   5.2759E+02       0.00993631       0.00195818
      2.3550   5.2647E+02       0.01001968       0.00196429
      2.3600   5.2536E+02       0.01005419       0.00198590
      2.3650   5.2425E+02       0.01006510       0.00203679
      2.3700   5.2314E+02       0.01010419       0.00214052
      2.3750   5.2204E+02       0.01018865       0.00228293
      2.3800   5.2094E+02       0.01026702       0.00239857
      2.3850   5.1985E+02       0.01025817       0.00241778
      2.3900   5.1876E+02       0.01012795       0.00232752
      2.3950   5.1768E+02       0.00991602       0.00217712
      2.4000   5.1660E+02       0.00968815       0.00202390
      2.4050   5.1553E+02       0.00948488       0.00188770
      2.4100   5.1446E+02       0.00932017       0.00176328
      2.4150   5.1339E+02       0.00920610       0.00165668
      2.4200   5.1233E+02       0.00916177       0.00158974
      2.4250   5.1127E+02       0.00919842       0.00157586
      2.4300   5.1022E+02       0.00929758       0.00159903
      2.4350   5.0918E+02       0.00941635       0.00162395
      2.4400   5.0813E+02       0.00953080       0.00163499
      2.4450   5.0709E+02       0.00966451       0.00165629
      2.4500   5.0606E+02       0.00985540       0.00172250
      2.4550   5.0503E+02       0.01009685       0.00183463
      2.4600   5.0400E+02       0.01031382       0.00194983
      2.4650   5.0298E+02       0.01039466       0.00200823
      2.4700   5.0196E+02       0.01025869       0.00197083
      2.4750   5.0095E+02       0.00990946       0.00184194
      2.4800   4.9994E+02       0.00942842       0.00165975
      2.4850   4.9893E+02       0.00892201       0.00146938
      2.4900   4.9793E+02       0.00847194       0.00130321
      2.4950   4.9693E+02       0.00811622       0.00117482
      2.5000   4.9594E+02       0.00785758       0.00108240
      2.5050   4.9495E+02       0.00768505       0.00101965
      2.5100   4.9396E+02       0.00759115       0.00098642
      2.5150   4.9298E+02       0.00757573       0.00099003
      2.5200   4.9200E+02       0.00763980       0.00103733
      2.5250   4.9103E+02       0.00777682       0.00112625
      2.5300   4.9006E+02       0.00796932       0.00124555
      2.5350   4.8909E+02       0.00819526       0.00138088
      2.5400   4.8813E+02       0.00843438       0.00151786
      2.5450   4.8717E+02       0.00866825       0.00164383
      2.5500   4.8621E+02       0.00888139       0.00175103
      2.5550   4.8526E+02       0.00906136       0.00183045
      2.5600   4.8431E+02       0.00920014       0.00186857
      2.5650   4.8337E+02       0.00930344       0.00186421
      2.5700   4.8243E+02       0.00938785       0.00183836
      2.5750   4.8149E+02       0.00945704       0.00180947
      2.5800   4.8056E+02       0.00949388       0.00177054
      2.5850   4.7963E+02       0.00948972       0.00171116
      2.5900   4.7870E+02       0.00946903       0.00164876
      2.5950   4.7778E+02       0.00946601       0.00161686
      2.6000   4.7686E+02       0.00947748       0.00162476
      2.6050   4.7595E+02       0.00945012       0.00164173
      2.6100   4.7504E+02       0.00932381       0.00162556
      2.6150   4.7413E+02       0.00908955       0.00156137
      2.6200   4.7322E+02       0.00879557       0.00147089
      2.6250   4.7232E+02       0.00849778       0.00138626
      2.6300   4.7142E+02       0.00821628       0.00131697
      2.6350   4.7053E+02       0.00794157       0.00124943
