      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      4.0134   3.0893E+02       0.00189712       0.01914242
      4.0184   3.0854E+02       0.00141155       0.01444848
      4.0234   3.0816E+02       0.00100909       0.01048595
      4.0284   3.0778E+02       0.00069309       0.00731771
      4.0334   3.0739E+02       0.00045738       0.00491075
      4.0384   3.0701E+02       0.00029000       0.00316922
      4.0434   3.0663E+02       0.00017666       0.00196705
      4.0484   3.0625E+02       0.00010340       0.00117427
      4.0534   3.0588E+02       0.00005815       0.00067429
      4.0584   3.0550E+02       0.00003142       0.00037246
      4.0634   3.0512E+02       0.00001631       0.00019793
      4.0684   3.0475E+02       0.00000813       0.00010120
      4.0734   3.0438E+02       0.00000390       0.00004979
      4.0784   3.0400E+02       0.00000180       0.00002358
      4.0834   3.0363E+02       0.00000080       0.00001074
      4.0884   3.0326E+02       0.00000035       0.00000471
      4.0934   3.0289E+02       0.00000018       0.00000197
      4.0984   3.0252E+02       0.00000018       0.00000076
      4.1034   3.0215E+02       0.00000035       0.00000036
      4.1084   3.0178E+02       0.00000084       0.00000088
      4.1134   3.0142E+02       0.00000203       0.00000224
      4.1184   3.0105E+02       0.00000476       0.00000531
      4.1234   3.0068E+02       0.00001073       0.00001199
      4.1284   3.0032E+02       0.00002327       0.00002601
      4.1334   2.9996E+02       0.00004850       0.00005418
      4.1384   2.9959E+02       0.00009711       0.00010845
      4.1434   2.9923E+02       0.00018683       0.00020858
      4.1484   2.9887E+02       0.00034541       0.00038541
      4.1534   2.9851E+02       0.00061366       0.00068424
      4.1584   2.9815E+02       0.00104774       0.00116714
      4.1634   2.9780E+02       0.00171930       0.00191279
      4.1684   2.9744E+02       0.00271194       0.00301191
      4.1734   2.9708E+02       0.00411246       0.00455668
      4.1784   2.9673E+02       0.00599668       0.00662355
      4.1834   2.9637E+02       0.00841069       0.00925069
      4.1884   2.9602E+02       0.01135086       0.01241393
      4.1934   2.9567E+02       0.01474760       0.01600719
      4.1984   2.9531E+02       0.01845858       0.01983474
      4.2034   2.9496E+02       0.02227592       0.02362147
      4.2084   2.9461E+02       0.02594880       0.02704410
      4.2134   2.9426E+02       0.02921836       0.02978067
      4.2184   2.9391E+02       0.03185721       0.03156994
      4.2234   2.9356E+02       0.03370384       0.03226776
      4.2284   2.9322E+02       0.03468265       0.03188591
      4.2334   2.9287E+02       0.03480482       0.03060041
      4.2384   2.9253E+02       0.03415110       0.02871997
      4.2434   2.9218E+02       0.03284330       0.02661129
      4.2484   2.9184E+02       0.03101452       0.02459107
      4.2534   2.9149E+02       0.02878708       0.02282152
      4.2584   2.9115E+02       0.02626319       0.02127107
      4.2634   2.9081E+02       0.02352783       0.01977505
      4.2684   2.9047E+02       0.02065883       0.01815225
      4.2734   2.9013E+02       0.01773708       0.01629745
      4.2784   2.8979E+02       0.01485144       0.01421151
      4.2834   2.8945E+02       0.01209569       0.01198163
      4.2884   2.8912E+02       0.00955929       0.00974000
